,name,light years from earth,stellar magnitude,discovery date_x,solar system name,planet discovery method,host temperature (Cº),host mass,host radius,planet radius [0],indice masa,description,koi_impact
0,Kepler-1047 c,1846.0,13.329,2016,Kepler-1043,Transit,1498.5802469135804,0.92,0.9,0.99,0.937,"Kepler-1047 c is a terrestrial exoplanet that orbits a G-type star. Its mass is 0.937 Earths, it takes 3.2 days to complete one orbit of its star, and is 0.0434 AU from its star. Its discovery was announced in 2016.",0.526
1,Kepler-1417 b,2140.0,13.858,2016,Kepler-1414,Transit,1289.320987654321,0.8,0.75,1.0,0.972,"Kepler-1415 b is a super Earth exoplanet that orbits a K-type star. Its mass is 2.21 Earths, it takes 0.6 days to complete one orbit of its star, and is 0.0144 AU from its star. Its discovery was announced in 2016.",0.192
2,Kepler-1464 c,2257.0,14.13,2016,Kepler-1462,Transit,1537.7777777777778,1.0,1.0,1.0,0.972,"Kepler-1463 b is a super Earth exoplanet that orbits a G-type star. Its mass is 4.12 Earths, it takes 25.2 days to complete one orbit of its star, and is 0.1694 AU from its star. Its discovery was announced in 2016.",0.116
3,Kepler-20 f,929.0,12.51,2011,Kepler-209,Transit,1462.7777777777778,0.96,0.94,1.003,14.3,"Kepler-20 d is a Neptune-like exoplanet that orbits a G-type star. Its mass is 10.07 Earths, it takes 77.6 days to complete one orbit of its star, and is 0.3506 AU from its star. Its discovery was announced in 2011.",0.049
4,Kepler-282 b,4537.0,15.178,2014,Kepler-281,Transit,1527.5925925925924,0.96,0.9,1.01,1.01,"Kepler-281 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 8.35 Earths, it takes 14.6 days to complete one orbit of its star, and is 0.117 AU from its star. Its discovery was announced in 2014.",0.037
5,Kepler-381 b,879.0,10.546,2014,Kepler-380,Transit,1626.9753086419755,0.96,1.22,0.99,0.937,"Kepler-380 b is a super Earth exoplanet that orbits an F-type star. Its mass is 1.81 Earths, it takes 3.9 days to complete one orbit of its star, and is 0.05 AU from its star. Its discovery was announced in 2014.",0.237
6,Kepler-392 b,2267.0,13.422,2014,Kepler-391,Transit,1285.925925925926,0.96,3.57,1.0,0.972,"Kepler-391 b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 10.3 Earths, it takes 7.4 days to complete one orbit of its star, and is 0.082 AU from its star. Its discovery was announced in 2014.",0.07
7,Kepler-553 c,2365.0,14.957,2016,Kepler-55,Transit,1151.0493827160492,0.96,0.62,0.999,Unknown,"Kepler-552 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 14.8 Earths, it takes 5.3 days to complete one orbit of its star, and is 0.0612 AU from its star. Its discovery was announced in 2016.",0.75
8,Kepler-68 c,472.0,9.99,2013,Kepler-687,Transit,1255.3703703703702,0.77,0.73,1.0,2.04,"Kepler-688 b is a gas giant exoplanet that orbits a G-type star. Its mass is 0.216 Jupiters, it takes 3.9 days to complete one orbit of its star, and is 0.046 AU from its star. Its discovery was announced in 2016.",0.54
9,Kepler-969 c,1341.0,13.722,2016,Kepler-970,Transit,1153.5185185185182,0.7,0.67,0.99,0.937,"Kepler-968 b is a super Earth exoplanet that orbits a K-type star. Its mass is 4.66 Earths, it takes 3.7 days to complete one orbit of its star, and is 0.0389 AU from its star. Its discovery was announced in 2016.",0.681
